Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
4.5,65.23792, ,4,34.31087, ,4,34.13921, ,5,40.0725, ,5,40.0725, ,4,108.5849, ,5.5,79.83779, ,8,66.66616, ,4.75,54.72744, ,5.5,65.94807, ,4.25,86.78868, ,4.5,99.86873, ,4,89.38311, ,5,82.93172, ,4.75,64.12133, ,4,104.3316, ,4.25,71.94138, ,4.5,107.315, ,6.5,94.99194, ,5.25,91.17586, , 
4.75,66.44014, ,4.25,36.0601, ,4.25,35.74308, ,5.25,41.15916, ,5.25,41.15916, ,4.25,110.3725, ,5.75,80.43074, ,8.25,64.87607, ,5,55.94695, ,5.75,67.99312, ,4.5,86.60245, ,5,101.6181, ,4.25,90.70597, ,5.25,85.11706, ,5,61.04165, ,4.25,104.0412, ,4.5,77.8975, ,4.75,110.6841, ,6.75,95.47379, ,5.5,92.91164, , 
5,67.19236, ,4.5,37.55917, ,4.5,37.17537, ,5.5,42.31535, ,5.5,42.31535, ,4.5,113.4603, ,6,80.89412, ,8.75,58.60653, ,5.25,56.39379, ,6,70.79077, ,4.75,88.179, ,5.25,102.3193, ,4.5,92.05258, ,5.5,85.79413, ,5.25,57.38382, ,4.5,102.7146, ,4.75,84.20312, ,5,112.8552, ,7,96.00912, ,5.75,94.57223, , 
5.25,69.22441, ,4.75,38.88801, ,4.75,38.51084, ,5.75,43.48269, ,5.75,43.48269, ,4.75,114.605, ,6.25,81.39129, , , , ,5.5,56.82458, ,6.25,73.76087, ,5,89.64223, ,5.5,100.2314, ,4.75,93.68853, ,5.75,86.34963, ,5.5,55.09993, ,4.75,100.6063, ,5,89.67599, ,5.25,114.9044, ,7.25,96.3474, ,6,95.85957, , 
5.5,70.283, ,5,40.08503, ,5,39.72736, ,6,44.32629, ,6,44.32629, ,5,114.937, ,6.5,81.91868, , , , ,5.75,58.55915, ,6.5,76.96228, ,5.25,90.98128, ,5.75,101.2053, ,5.25,98.44099, ,6,87.18294, ,5.75,51.65562, ,5,99.24435, ,5.25,98.72096, ,5.5,115.5919, ,7.5,96.46693, ,6.25,96.81829, , 
5.75,67.22055, ,5.25,41.15166, ,5.25,40.79795, ,6.25,44.92685, ,6.25,44.92685, ,5.25,116.8428, ,6.75,82.45071, , , , ,6,61.57384, ,6.75,80.4092, ,5.5,92.19959, ,6,102.0258, ,5.5,98.88885, ,6.25,89.28709, ,6,46.04675, ,5.25,98.52007, ,5.5,107.6275, ,5.75,116.9084, ,7.75,96.47414, ,6.5,97.67355, , 
6,65.89014, ,5.5,42.02507, ,5.5,41.66359, ,6.5,45.33381, ,6.5,45.33381, ,5.75,119.4318, ,7,82.98481, , , , ,6.25,65.78678, ,7,84.0537, ,5.75,93.33351, ,6.25,102.702, ,5.75,99.27818, ,6.5,91.55275, ,8,22.18444, ,5.5,99.00137, ,5.75,113.6118, ,6,116.3976, ,8,96.38858, ,6.75,98.43762, , 
6.5,63.10733, ,5.75,42.70425, ,5.75,42.56651, ,6.75,45.55096, ,6.75,45.55096, ,6.25,122.036, ,7.25,83.42897, , , , ,6.5,70.77566, ,7.25,86.9592, ,6,94.5059, ,6.5,103.2392, ,6,99.60119, ,6.75,94.15155, ,8.25,21.04114, ,5.75,99.40024, ,6,117.3628, ,6.25,117.2999, ,8.25,96.21399, ,7,99.13776, , 
6.75,62.14155, ,6,43.1838, ,6,43.28404, ,7,45.57212, ,7,45.57212, ,6.5,123.4816, ,7.5,83.91071, , , , ,6.75,76.04542, ,7.5,84.64106, ,6.25,95.71689, ,6.75,103.6594, ,6.25,99.78859, ,7,95.15057, ,8.5,20.00863, ,6,99.69919, ,6.25,123.5249, ,6.5,115.7872, ,8.5,95.96211, ,7.25,99.80492, , 
7,57.85968, ,6.25,43.63077, ,6.25,43.75763, ,7.5,45.33622, ,7.5,45.33622, ,6.75,125.6437, ,7.75,84.37921, , , , ,7,82.35726, ,7.75,81.15723, ,6.5,96.91287, ,7,103.9932, ,6.5,99.75171, ,7.25,94.09055, ,8.75,19.09734, ,6.25,99.87122, ,6.5,123.927, ,6.75,109.4594, ,8.75,96.10718, ,7.5,100.4814, , 
7.25,54.68137, ,6.5,43.8668, ,6.5,44.02348, ,7.75,44.97652, ,7.75,44.97652, ,7,124.9415, ,8,84.6678, , , , ,7.25,83.22553, ,8,77.40172, ,6.75,97.98013, ,7.25,104.2628, ,6.75,99.39528, ,7.5,93.49912, ,9,18.27073, ,6.5,99.88466, ,6.75,104.5577, ,7,92.26411, ,9,97.20562, ,7.75,101.3977, , 
7.5,51.82565, ,6.75,43.8343, ,6.75,44.10738, ,8,44.41273, ,8,44.41273, ,7.25,124.7154, ,8.25,84.60093, , , , ,7.5,83.90637, ,8.25,75.92069, ,7,98.77402, ,7.5,104.4564, ,7,98.47699, ,7.75,93.78945, ,9.25,17.67468, ,6.75,99.71098, ,7,89.51651, ,7.25,80.57151, ,9.25,98.34492, ,8,102.5537, , 
7.75,49.62367, ,7,43.56975, ,7,44.01231, ,8.25,43.6832, ,8.25,43.6832, ,7.5,119.6523, ,8.5,83.56418, , , , ,7.75,87.68182, ,8.5,77.97637, ,7.25,99.23813, ,7.75,104.4011, ,7.25,96.16762, ,8,95.57907, ,9.5,17.0734, ,7,99.29196, ,7.25,77.66142, ,7.5,71.25528, ,9.5,98.86049, ,8.25,103.7548, , 
8,40.99534, ,7.25,43.12035, ,7.25,43.74954, ,8.5,42.78637, ,8.5,42.78637, ,7.75,115.8096, ,8.75,81.42204, , , , ,8,91.5081, ,8.75,83.53029, ,7.5,98.98476, ,8,103.9684, ,7.5,96.64518, ,8.25,91.91578, ,9.75,16.2739, ,7.25,98.4082, ,7.5,67.44717, ,7.75,64.61834, ,9.75,99.61982, ,8.5,104.6243, , 
, , ,7.5,42.44225, ,7.5,43.27782, ,8.75,41.73557, ,8.75,41.73557, ,8,101.4182, ,9,80.78192, , , , ,8.25,86.95201, ,9,90.68731, ,7.75,96.7357, ,8.25,102.7811, ,7.75,97.1062, ,8.5,89.81633, ,10,15.41248, ,7.5,96.36954, ,7.75,60.18007, ,8,60.23394, ,10,100.4698, ,8.75,105.2617, , 
, , ,7.75,41.56626, ,7.75,42.81164, ,9,40.59555, ,9,40.59555, ,8.25,85.88102, ,9.25,80.27503, , , , ,8.5,85.35362, ,9.25,85.57017, ,8,96.71805, ,8.5,101.336, ,8,97.406, ,8.75,87.7906, ,10.25,14.52164, ,7.75,94.05233, ,8,55.46217, ,8.25,57.09923, ,10.25,100.5657, ,9,105.5328, , 
, , ,8,40.6053, ,8,42.12803, ,9.25,39.38481, ,9.25,39.38481, ,8.5,72.45787, ,9.5,79.0957, , , , ,8.75,84.06205, ,9.5,79.24309, ,8.25,97.54951, ,8.75,102.0614, ,8.25,97.51414, ,9,84.16597, ,10.5,13.62254, ,8,90.67353, ,8.25,52.25037, ,8.5,54.31684, ,10.5,98.47345, ,9.25,104.7986, , 
, , ,8.25,39.52178, ,8.25,41.21395, ,9.5,38.05566, ,9.5,38.05566, ,8.75,60.87447, ,9.75,75.55061, , , , ,9,79.95715, ,9.75,76.61493, ,8.5,98.21522, ,9,102.5061, ,8.5,97.41726, ,9.25,80.26985, ,10.75,12.72893, ,8.25,84.2683, ,8.5,49.85219, ,8.75,52.39998, ,10.75,98.01978, ,9.5,103.8986, , 
, , ,8.5,38.30606, ,8.5,40.12792, ,9.75,36.66052, ,9.75,36.66052, ,9,51.4037, ,10,70.31755, , , , ,9.25,76.37647, ,10,77.84225, ,8.75,98.7215, ,9.25,102.7239, ,8.75,97.19308, ,9.5,77.49853, ,11,11.85589, ,8.5,80.52023, ,8.75,48.07615, ,9,50.54708, ,11,97.09007, ,9.75,106.4327, , 
