Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
, , ,             9,      61.61358, ,          7.75,      81.40258, ,           8.5,      72.96027, ,           9.5,      44.84928, ,           7.5,      77.73674, ,             9,      45.90795, ,          9.25,      43.58673, ,          8.25,      34.96856, ,          8.25,        61.759, ,          7.25,        88.079, ,          7.25,      88.16091, ,          7.25,      68.34766, ,           9.5,       65.7939, ,           8.5,      66.62871, ,         19.25,      3.823465, ,          9.75,      76.89603, ,          9.25,      61.39227, ,           8.5,      15.91324, ,             8,      46.82181, ,          15.5,      4.049187, , , , , , , ,            18,      3.744157, ,         12.75,      29.02124, ,          7.25,      89.00017, ,          7.75,      14.05129, ,          7.75,      72.30353, ,          9.25,      63.57158, ,         10.25,      58.16855, ,          8.75,      73.24284, ,             9,      19.23276, ,           7.5,      74.11464, ,          7.25,      72.88496, ,           7.5,      75.04866, ,           7.5,       75.4091, ,          7.25,      71.49477, ,           7.5,      64.10381, ,           7.5,      65.10121, ,           7.5,      66.30966, ,          9.75,      11.96306, ,          8.75,      14.29296, ,          9.25,      6.496463, ,           7.5,      90.64616, ,          7.75,      57.38853, ,             9,      50.99796, ,          8.75,      13.31717, ,         11.75,      4.225967, ,          9.25,      9.831281, , , , , 
, , ,          9.25,      59.60221, ,             8,      80.43586, ,          8.75,      72.32018, ,          9.75,      42.36894, ,          7.75,      74.55534, ,          9.25,       46.0342, ,           9.5,      42.89612, ,           8.5,      34.61571, ,           8.5,      52.71637, ,           7.5,      87.72319, ,           7.5,      87.79288, ,           7.5,      67.17494, ,          9.75,      64.15526, ,          8.75,      67.95352, ,          19.5,      3.759164, ,            10,       70.6303, ,           9.5,      58.81354, ,          8.75,      14.97789, ,          8.25,       47.8525, ,         15.75,      3.982725, , , , , , , ,         18.25,      3.674821, ,            13,      28.07196, ,           7.5,      88.08808, ,             8,      13.03984, ,             8,      71.76536, ,           9.5,      62.66292, ,          10.5,      55.82171, ,             9,      72.09428, ,          9.25,      18.75579, ,          7.75,      74.85979, ,           7.5,       73.6371, ,          7.75,      75.45094, ,          7.75,      75.29574, ,           7.5,      70.39534, ,          7.75,      63.03517, ,          7.75,      64.45176, ,          7.75,      65.90131, ,            10,      10.96025, ,             9,      13.12747, ,          10.5,      5.280774, ,          7.75,       89.5428, ,             8,      56.50224, ,          9.25,      48.70883, ,             9,        12.483, ,            12,      4.123358, ,           9.5,      9.052796, , , , , 
, , ,           9.5,      57.54872, ,          8.25,      73.14729, ,             9,      71.71924, , , , ,             8,      68.11167, ,           9.5,      46.18749, ,         11.75,      43.36006, ,          8.75,      34.24018, ,          8.75,      52.04668, ,          7.75,      87.46308, ,          7.75,      87.52781, ,          7.75,      65.81503, ,            10,      62.14264, ,             9,      69.29831, ,         19.75,      3.696912, ,         10.25,       63.7305, ,          9.75,      56.27552, ,             9,      14.16756, ,           8.5,      50.18496, ,            16,       3.91931, , , , , , , ,          18.5,      3.610022, ,         13.25,      27.11464, ,          7.75,      86.48093, ,          8.25,      12.05672, ,          8.25,      71.28471, ,          9.75,      61.60932, ,         10.75,      53.92016, ,          9.25,      70.43316, ,           9.5,      18.24628, ,             8,       75.4726, ,          7.75,      74.13465, ,             8,      75.42386, ,             8,      74.76426, ,          7.75,      68.80531, ,             8,      61.76267, ,             8,      63.70934, ,             8,      66.17985, ,         10.25,      9.948472, ,          9.25,      11.98578, ,         10.75,      5.131222, ,             8,      88.33419, ,          8.25,      55.43142, ,           9.5,       45.3515, ,          9.25,      11.59479, ,         12.25,      3.984683, ,          9.75,      8.263041, , , , , 
, , ,          9.75,      55.34996, ,           8.5,      65.65576, ,          9.25,      70.84712, , , , ,          8.25,       63.5465, ,          9.75,      46.39037, ,            12,      43.25446, ,             9,      33.78137, ,             9,      51.61328, ,             8,      87.16549, ,             8,      87.23093, ,             8,      62.08014, ,         10.25,      59.96499, ,          9.25,      91.26193, ,            20,      3.635614, ,         11.75,       31.2341, ,            10,      53.65665, ,          9.25,      13.32403, ,          8.75,      50.71703, ,         16.25,      3.858314, , , , , , , ,         18.75,      3.549198, ,          13.5,       26.1059, ,             8,      85.26225, ,           8.5,      11.07991, ,           8.5,      70.29864, ,            10,      60.32437, ,            11,      52.03117, ,           9.5,      68.04702, ,          9.75,      17.71509, ,          8.25,      75.91646, ,             8,      74.44638, ,          8.25,      74.17294, ,          8.25,      74.44483, ,             8,      67.85662, ,          8.25,      58.91125, ,          8.25,      63.68344, ,          8.25,      65.54132, ,          10.5,      8.940448, ,           9.5,      10.75823, ,            11,      5.025501, ,          8.25,      86.61085, ,           8.5,      54.15555, ,          9.75,      43.99696, ,           9.5,      10.60733, ,          12.5,      3.894645, ,            10,      7.497594, , , , , 
, , , , , ,          8.75,      63.19543, ,           9.5,      69.52809, , , , ,           8.5,      61.59737, ,            10,       46.6141, ,         12.25,      43.04516, ,           9.5,      40.76397, ,          9.25,      51.30481, ,          8.25,      86.72644, ,          8.25,      86.79467, ,          8.25,      57.43991, ,          10.5,      57.44764, ,           9.5,      90.51596, , , , ,            12,       27.7626, ,         10.25,       50.9796, ,           9.5,      12.44203, ,          9.25,      46.23092, ,          16.5,       3.79962, , , , , , , ,            19,      3.491854, ,         13.75,      25.01044, ,          8.25,      85.30878, ,          8.75,      10.05833, ,          8.75,      70.58908, ,         10.25,      58.81852, ,         11.25,      50.27859, ,          9.75,      68.18147, ,            10,       17.1595, ,           8.5,      76.18286, ,          8.25,      74.64172, ,           8.5,      72.22093, ,           8.5,      73.26745, ,          8.25,      65.69515, ,           8.5,      56.18187, ,           8.5,      62.62994, ,           8.5,      64.73697, ,         10.75,       7.93684, ,          9.75,      9.514865, ,         11.25,      4.927537, ,           8.5,      84.01807, ,          8.75,      52.71732, ,          12.5,      22.45664, ,          9.75,      9.528396, ,         12.75,      3.811205, ,         10.25,      6.987936, , , , , 
, , , , , ,             9,      62.02926, ,          9.75,      66.28676, , , , ,          8.75,       54.3107, ,         10.25,      46.80594, ,          12.5,      42.56265, ,          9.75,      39.33357, ,           9.5,      51.05941, ,           8.5,      86.10223, ,           8.5,      86.17377, ,           8.5,      60.77569, ,         10.75,      54.77078, ,          9.75,      88.63258, , , , ,         12.25,      25.52529, ,          10.5,      48.26917, ,          9.75,      11.54125, ,           9.5,      46.43438, ,         16.75,      3.743255, , , , , , , ,         19.25,      3.437583, ,            14,      23.78978, ,           8.5,      84.99726, ,             9,       8.75856, ,             9,      70.90682, ,          10.5,       58.3562, ,          11.5,      48.53046, ,            10,      65.10066, ,         10.25,      16.45146, ,          8.75,      76.16384, ,           8.5,      74.67343, ,          8.75,      73.62879, ,          8.75,      71.17215, ,           8.5,      65.22258, ,          8.75,        53.074, ,          8.75,      61.44752, ,          8.75,      63.81122, ,            11,      7.139045, ,            10,      8.380126, ,          11.5,      4.804115, ,          8.75,      78.23901, ,             9,      50.97227, ,         12.75,      21.32883, ,            10,      7.815576, ,            13,      3.732074, ,          10.5,      6.586401, , , , , 
, , , , , ,          9.25,      60.80693, ,            10,      59.20111, , , , ,             9,      46.94893, ,          10.5,      46.91479, , , , ,            10,      37.69734, ,          9.75,      50.85913, ,          8.75,      85.28122, ,          8.75,      85.35559, ,          8.75,      61.06717, ,            11,      52.32526, ,            10,      86.20897, , , , ,          12.5,       23.0951, ,         10.75,      45.66073, ,            10,      10.63652, ,          9.75,      47.29449, ,            17,      3.688986, , , , , , , ,          19.5,      3.386029, ,         14.25,      22.39885, ,          8.75,       84.2928, ,          9.25,      8.072944, ,          9.25,      71.07286, ,         10.75,      57.86518, ,         11.75,      46.66487, ,         10.25,      63.73269, ,          10.5,      15.63074, ,             9,      75.89354, ,          8.75,       74.5506, ,             9,      74.78884, ,             9,       70.2219, ,          8.75,      62.43772, ,             9,      49.89909, ,             9,      60.11562, ,             9,      62.72404, ,         11.25,      6.628146, ,         10.25,        7.6972, ,         11.75,      4.688126, ,             9,      74.13821, ,          9.25,      49.45404, ,            13,      20.21362, ,         10.25,      7.104315, ,         13.25,      3.657562, ,         10.75,      6.251782, , , , , 
, , , , , ,           9.5,      59.28766, ,            11,      45.66948, , , , ,          9.25,      40.98334, ,         10.75,      46.81847, , , , ,         10.25,      34.84886, ,            10,      50.65507, ,             9,      83.89283, ,             9,      84.01433, ,             9,      60.38648, ,         11.25,      49.76529, ,         10.25,      84.33664, , , , ,         12.75,      20.57511, ,            11,      42.30654, ,         10.25,      9.741853, ,            11,      32.46597, ,         17.25,      3.635964, , , , , , , ,         19.75,       3.33688, ,          14.5,      23.97248, ,             9,      83.24426, ,           9.5,      7.571167, ,           9.5,      70.97331, ,            11,      57.32758, ,            12,      44.70004, ,          10.5,      61.17513, ,         10.75,      14.70683, ,          9.25,      75.40028, ,             9,      74.17579, ,          9.25,      75.56755, ,          9.25,      67.13761, ,             9,       61.8502, ,          9.25,      48.55011, ,          9.25,      58.67014, ,          9.25,      61.50635, ,          11.5,      6.227221, ,          10.5,      7.182529, ,            12,      4.583336, ,          9.25,      69.99546, ,           9.5,      46.48675, ,         13.25,      19.13565, ,          10.5,      6.655762, ,          13.5,      3.586579, ,            11,      5.965939, , , , , 
, , , , , ,          9.75,      57.50875, ,         11.25,       42.7803, , , , ,           9.5,      35.52848, ,            11,      45.97836, , , , ,          10.5,      33.39323, ,         10.25,      50.24921, ,          9.25,      81.80248, ,          9.25,      81.89109, ,          9.25,      59.29683, ,          11.5,      46.70233, ,          10.5,      83.39106, , , , ,            13,      18.99926, ,         11.25,      36.64503, ,          10.5,      8.897303, ,         11.25,      29.88103, ,          17.5,      3.584701, , , , , , , ,            20,      3.289895, ,         14.75,      21.68592, ,          9.25,      81.76345, ,          9.75,      7.163827, ,          9.75,       70.5585, ,         11.25,      56.67938, ,         12.25,      42.73264, ,         10.75,      58.78024, ,            11,       13.6332, ,           9.5,      74.89633, ,          9.25,       73.2759, ,           9.5,      75.81205, ,           9.5,      67.30326, ,          9.25,      60.93775, ,           9.5,      46.95041, ,           9.5,      57.07231, ,           9.5,      60.10247, ,         11.75,      5.896764, ,         10.75,      6.768382, ,         12.25,      4.490152, ,           9.5,      69.19961, ,          9.75,      44.84424, ,          13.5,      17.01156, ,         10.75,      6.312426, ,         13.75,      3.519927, ,         11.25,      5.718357, , , , , 
, , , , , ,            10,      55.01675, ,          11.5,      41.01154, , , , ,          9.75,      34.03075, ,         11.25,      44.98405, , , , ,         10.75,      32.21912, ,          10.5,      49.13065, ,           9.5,      80.58876, ,           9.5,      80.65639, ,           9.5,      57.62173, ,         11.75,      43.16198, ,         10.75,      82.13686, , , , , , , , , , ,         10.75,      8.110656, ,          11.5,      27.79988, ,         17.75,      3.535065, , , , , , , , , , ,            15,      21.25348, ,           9.5,      79.54495, ,            10,      6.821774, ,            10,      69.81715, ,          11.5,      55.80473, ,          12.5,      40.67971, ,            11,      57.33289, ,         11.25,      11.90998, ,          9.75,      74.56316, ,           9.5,      71.13508, ,          9.75,      75.03609, ,          9.75,       65.6589, ,           9.5,      59.40957, ,          9.75,      45.37744, ,          9.75,      55.35975, ,          9.75,      58.49339, ,            12,      5.613495, ,            11,      6.424256, ,          12.5,      4.408771, ,          9.75,      66.71542, ,            10,      42.53951, ,         13.75,      14.98181, ,            11,      6.034852, ,            14,      3.458227, ,          11.5,      5.500806, , , , , 
, , , , , ,         10.25,       53.3261, ,         11.75,      39.58256, , , , ,            10,      33.40136, ,          11.5,      44.90566, , , , ,            11,      31.09208, ,         10.75,      46.68096, ,          9.75,      79.63804, ,          9.75,      79.69504, ,          9.75,      56.07428, ,            12,      40.20953, ,            11,       80.4167, , , , , , , , , , ,            11,      7.462008, ,         11.75,      26.39682, ,            18,      3.486871, , , , , , , , , , ,         15.25,      20.96344, ,          9.75,      78.27353, ,         10.25,      6.528958, ,         10.25,      68.84388, ,         11.75,      54.90209, ,         12.75,      38.46315, ,         11.25,       56.4554, ,         12.75,      5.390715, ,            10,      74.03261, ,          9.75,      69.11423, ,            10,      74.08104, ,            10,      65.03415, ,          9.75,      56.19576, ,            10,      43.75265, ,            10,      53.51946, ,            10,      56.60181, ,         12.25,      5.373048, ,         11.25,      6.129127, ,         12.75,      4.340413, ,            10,      58.64516, ,         17.75,      3.847543, ,            14,      13.42564, ,         11.25,      5.804078, ,         14.25,      3.400778, ,         11.75,      5.308487, , , , , 
, , , , , ,          10.5,      54.54211, ,            12,      38.18209, , , , ,         10.25,       32.8571, ,         11.75,      44.73194, , , , ,         11.25,      29.91419, ,            11,       32.3753, ,         10.25,      77.88341, ,         10.25,      77.92587, ,            10,       54.6016, ,         12.25,      36.96852, ,         11.25,      78.43103, , , , , , , , , , ,         11.25,      6.924379, ,            12,      25.23864, ,         18.25,      3.439949, , , , , , , , , , ,          15.5,      20.70003, ,            10,      77.85096, ,          10.5,      6.275017, ,          10.5,      67.44594, ,         12.25,      49.94251, ,            13,      36.12049, ,          11.5,      55.31045, ,            13,      5.203415, ,         10.25,      73.06913, ,            10,      70.17312, ,         10.25,      74.42709, ,         10.25,      64.01213, ,            10,      55.29988, ,         10.25,        42.099, ,         10.25,      51.55099, ,         10.25,      54.30808, ,          12.5,      5.165562, ,          11.5,      5.870744, ,         19.25,      3.243841, ,         10.25,      54.93085, ,            18,      3.780151, ,         14.25,      12.16945, ,          11.5,      5.608855, ,          14.5,      3.346862, ,            12,      5.137862, , , , , 
, , , , , ,         10.75,      52.73879, ,         12.25,      39.07618, , , , ,          10.5,      32.13478, ,            12,      44.51968, , , , ,          11.5,      27.37833, ,         11.25,      31.95709, ,          10.5,      77.05937, ,          10.5,      77.09719, ,         10.25,       53.0522, ,          12.5,      38.97765, ,          11.5,      76.01674, , , , , , , , , , ,          11.5,      6.516239, ,         12.25,      24.21907, ,          18.5,      3.394151, , , , , , , , , , ,         15.75,      19.74571, ,         10.25,       77.2401, ,         10.75,      6.052874, ,         10.75,      65.05265, ,          12.5,      48.18333, ,         13.25,      33.69555, ,         11.75,      50.31759, ,         13.25,      5.002436, ,          10.5,      71.40473, ,         10.25,      70.97652, ,          10.5,      73.37297, ,          10.5,      61.40768, ,         10.25,      53.99878, ,          10.5,      40.57214, ,          10.5,      49.47849, ,          10.5,      51.69981, ,         12.75,      4.981902, ,         11.75,       5.64473, ,          19.5,      3.225712, ,          10.5,      52.72605, ,         18.25,      3.711802, ,          14.5,      11.24904, ,         11.75,      5.442351, ,         14.75,      3.296154, ,         12.25,      4.986005, , , , , 
, , , , , ,            11,      52.52143, ,          12.5,      39.54639, , , , ,         10.75,      30.22576, ,         12.25,      44.13459, , , , ,         11.75,      25.97515, ,          11.5,      31.88018, ,         10.75,      76.18569, ,         10.75,      76.21928, ,          10.5,      51.36484, ,         12.75,      35.98837, ,         11.75,      69.77467, , , , , , , , , , ,         11.75,      6.179295, ,          12.5,      23.25486, ,         18.75,      3.349346, , , , , , , , , , ,            16,      19.04832, ,          10.5,      76.45559, ,            11,       5.85971, ,         11.25,      66.14629, ,         12.75,      46.02407, ,          13.5,      31.20084, ,            12,      44.04214, ,          13.5,      4.832791, ,         10.75,      70.16668, ,          10.5,      71.65485, ,         10.75,      72.24752, ,         10.75,      60.59189, ,          10.5,      52.63852, ,         10.75,      38.96073, ,         10.75,      47.31001, ,         10.75,      48.84617, ,            13,      4.819561, ,            12,       5.44459, ,         19.75,      3.207429, ,         10.75,      50.74046, ,          18.5,      3.634976, ,         14.75,      10.42565, ,            12,      5.301666, ,            15,       3.24847, ,          12.5,      4.850582, , , , , 
, , , , , , , , ,         12.75,      38.01031, , , , ,            11,      28.76435, ,          12.5,      43.33292, , , , ,            12,      25.06609, ,         12.25,      25.38582, ,            11,      75.21486, ,            11,      75.24417, ,         10.75,      49.45703, ,            13,      33.76697, ,            12,      66.19981, , , , , , , , , , ,            12,      5.893243, ,         12.75,      22.25652, ,            19,      3.305414, , , , , , , , , , ,         16.25,       18.0653, ,         10.75,      75.52205, ,         11.25,        5.6957, ,          11.5,      62.40759, ,            13,      43.72276, ,         13.75,      28.67093, ,         12.25,      40.13912, ,         13.75,      4.710404, ,            11,      68.57877, ,         10.75,      72.11911, ,            11,      70.74447, ,            11,      59.66735, ,         10.75,       51.0891, ,            11,      37.54623, ,            11,      45.07838, ,            11,      49.01164, ,         13.25,      4.674763, ,         12.25,      5.266894, ,            20,      3.189014, ,            11,      48.90127, ,         18.75,      3.576213, ,            15,      9.669612, ,         12.25,       5.15832, ,         15.25,      3.203799, ,         12.75,      4.729764, , , , , 
, , , , , , , , ,            13,      36.17902, , , , ,         11.25,      28.31783, ,         12.75,      35.69794, , , , ,         12.25,      24.29943, ,         12.75,      20.58559, ,         11.25,      74.09179, ,         11.25,      74.11605, ,            11,      46.60629, ,         13.25,       31.8395, ,         12.25,       63.7185, , , , , , , , , , ,         12.25,      5.647015, ,            13,      20.65298, ,         19.25,      3.262248, , , , , , , , , , ,          16.5,      15.71399, ,            11,      74.26819, ,          11.5,      5.567988, ,         11.75,      59.27217, ,         13.25,      41.32339, ,            14,       26.1214, ,          12.5,       37.7639, ,            14,      4.614389, ,         11.25,      66.36151, ,            11,       72.4388, ,         11.25,      68.97153, ,         11.25,      58.50517, ,            11,      48.44386, ,         11.25,      36.24686, ,         11.25,      42.74106, ,         11.25,      47.86621, ,          13.5,      4.545228, ,          12.5,      5.107599, , , , ,         11.25,      47.09799, ,            19,      3.545531, ,         15.25,       8.97757, ,          12.5,      5.008169, ,          15.5,      3.162287, ,            13,        4.6223, , , , , 
, , , , , , , , ,         13.25,      33.14628, , , , ,          11.5,      27.60282, ,            13,       35.2082, , , , ,          12.5,      23.54199, ,            13,      19.89574, ,          11.5,      72.74289, ,          11.5,      72.76072, ,         11.25,      44.36536, ,         15.75,      17.00257, ,          12.5,      60.88277, , , , , , , , , , ,          12.5,      5.433011, ,         13.25,      19.86872, ,          19.5,      3.219779, , , , , , , , , , ,         16.75,      15.32826, ,         11.25,      72.04378, ,         11.75,      5.514566, ,            12,      56.96497, ,          13.5,      38.75997, ,         14.25,      23.59713, ,         12.75,      34.90979, ,         14.25,      4.540367, ,          11.5,      65.03615, ,         11.25,      72.29375, ,          11.5,       67.9029, ,          11.5,      56.39261, ,         11.25,      44.38776, ,          11.5,      34.78274, ,          11.5,       40.3134, ,          11.5,      46.32473, ,         13.75,      4.428985, ,         12.75,      4.964045, , , , ,          11.5,       45.2513, ,         19.25,      3.526122, ,          15.5,      8.315886, ,         12.75,      4.906596, ,         15.75,      3.124135, ,         13.25,      4.527484, , , , , 
, , , , , , , , ,         13.75,      30.21013, , , , ,         11.75,      25.98371, ,         13.25,      34.76842, , , , ,         12.75,      22.68027, ,         13.25,      18.57719, ,         11.75,      70.99433, ,         11.75,        71.002, ,          11.5,       42.3604, ,            16,      16.08285, ,         12.75,      58.23077, , , , , , , , , , ,         12.75,      5.245535, ,          13.5,       19.2374, ,         19.75,      3.177895, , , , , , , , , , ,            17,      15.02289, ,          11.5,      70.12953, ,            12,      5.461973, ,         12.25,      54.60669, ,         13.75,      36.18995, ,          14.5,      21.07872, ,            13,      33.08371, ,          14.5,      4.483945, ,         11.75,      63.57329, ,          11.5,      70.62058, ,         11.75,      65.97498, ,         11.75,      54.33375, ,          11.5,      43.59219, ,         11.75,      33.42055, ,            12,      36.73125, ,         11.75,      44.62352, ,            14,      4.324428, ,            13,      4.841682, , , , ,         11.75,      43.28121, ,          19.5,      3.318628, ,         15.75,      7.709016, ,            13,      4.826039, ,            16,      3.089182, ,          13.5,      4.446162, , , , , 
, , , , , , , , ,            14,      27.10342, , , , ,            12,      23.82081, ,          13.5,       34.0794, , , , ,         13.25,      17.84932, ,          13.5,      17.65559, ,            12,         68.27, ,            12,      68.25487, ,         11.75,      40.19983, ,         16.25,      13.76856, ,            13,      54.94556, , , , , , , , , , ,            13,      5.080094, ,         17.75,      4.742671, ,            20,      3.136519, , , , , , , , , , ,         17.25,      14.76582, ,         11.75,      69.69791, ,         12.25,      5.346876, ,          12.5,      52.12116, ,            14,      33.62791, ,         14.75,      18.52192, ,         13.25,      31.32275, ,         14.75,      4.442339, ,            12,      62.02723, ,         11.75,      70.41399, ,            12,      63.83292, ,            12,       53.3357, ,         11.75,      42.44738, ,            12,       32.0914, ,         12.25,       36.2079, ,            12,      42.71238, ,         14.25,      4.233091, ,         13.25,      4.737073, , , , ,            12,      40.60675, ,         19.75,      3.249117, ,            16,      7.179615, ,         13.25,      4.760854, ,         16.25,       3.05767, ,         13.75,      4.365279, , , , , 
, , , , , , , , ,         14.25,      24.55737, , , , ,         12.25,      21.03846, ,         13.75,       33.0284, , , , ,          13.5,       17.4028, ,         13.75,      14.84897, ,         12.25,      61.60217, ,         12.25,      61.58395, ,            12,      38.49664, ,          16.5,      13.22503, ,         13.25,      52.74434, , , , , , , , , , ,         13.25,      4.933218, ,            18,      4.536723, , , , , , , , , , , , , ,          17.5,      14.53899, ,            12,       68.8953, ,          12.5,      5.229812, ,         12.75,      49.56918, ,         14.25,      30.97868, ,            15,      16.30885, ,          13.5,      28.63992, ,            15,      4.402901, ,         12.25,       60.2847, ,            12,      70.42865, ,         12.25,      63.09157, ,         12.25,      52.12259, ,            12,      41.09613, ,         12.25,      30.55014, ,          12.5,       35.0164, ,         12.25,       40.4625, ,          14.5,      4.158188, ,          13.5,      4.649887, , , , ,         12.25,      38.35007, ,            20,        3.1846, ,         16.25,      6.679937, ,          13.5,      4.659945, ,          16.5,      3.029075, ,            14,      4.200203, , , , , 
, , , , , , , , ,          14.5,      22.87875, , , , , , , ,            14,      31.84901, , , , ,         13.75,      17.01964, ,            14,      13.64047, ,          12.5,      57.93945, ,          12.5,      57.91511, ,         12.25,      35.01846, ,         16.75,      12.69052, ,          13.5,      50.90199, , , , , , , , , , ,          13.5,      4.802103, ,         18.25,      4.368016, , , , , , , , , , , , , ,         17.75,      14.32971, ,         12.25,      67.92422, ,         12.75,      5.119354, ,            13,      46.96072, ,          14.5,       28.3731, ,         15.25,      14.37277, ,         13.75,      26.63758, ,         15.25,      4.371148, ,          12.5,       58.6415, ,         12.25,      69.31577, ,          12.5,       61.6912, ,          12.5,      50.85451, ,         12.25,       39.5852, ,          12.5,       29.0963, ,         12.75,      33.71951, ,          12.5,      37.89328, ,         14.75,       4.09688, ,         13.75,       4.58355, , , , ,          12.5,       36.0371, , , , ,          16.5,      6.227742, ,         13.75,      4.595314, ,         16.75,      3.003878, ,         14.25,      4.123299, , , , , 
, , , , , , , , ,         14.75,      21.37189, , , , , , , ,          14.5,      23.90325, , , , ,            14,      16.71221, ,         14.25,      13.06863, ,         12.75,      53.13494, ,         12.75,      53.10341, ,          12.5,      33.00825, ,         17.25,      12.20468, ,         13.75,      48.94697, , , , , , , , , , ,         13.75,      4.684491, ,          18.5,      4.226684, , , , , , , , , , , , , ,            18,      14.12895, ,          12.5,      66.54571, ,            13,      5.016668, ,         13.25,      44.19286, ,         14.75,      25.82546, ,          15.5,      12.71648, ,            14,      25.13484, ,          15.5,      4.180194, ,         12.75,      56.90924, ,          12.5,      67.31967, ,         12.75,      59.53506, ,         12.75,      49.57291, ,          12.5,      38.14162, ,         12.75,       27.9099, ,            13,      32.47216, ,         12.75,      35.20864, ,            15,      4.053447, ,            14,      4.573089, , , , ,         12.75,      33.69421, , , , ,         16.75,      5.812682, ,            14,      4.539384, ,            17,      2.981064, ,          14.5,      4.052634, , , , , 
, , , , , , , , ,            15,      19.88902, , , , , , , ,         14.75,      23.26778, , , , ,         14.25,      16.44943, ,          14.5,      12.76764, ,            13,      47.36821, ,            13,      47.33759, ,         12.75,      31.42262, ,          17.5,      11.99031, ,            14,      45.80294, , , , , , , , , , ,            14,      4.578493, ,         18.75,      4.105744, , , , , , , , , , , , , ,         18.25,      13.92817, ,         12.75,      64.61915, ,         13.25,      4.976546, ,          13.5,      41.17406, ,            15,      23.42112, ,         15.75,      11.36436, ,          14.5,      25.20414, ,         15.75,      4.087001, ,            13,      55.08584, ,         12.75,      65.97069, ,            13,      57.64243, ,            13,      46.91253, ,         12.75,      36.73949, ,            13,       26.6828, ,         13.25,      30.96086, ,            13,      32.53066, ,         15.25,      4.068956, ,         14.25,      4.530511, , , , ,            13,      31.45892, , , , ,            17,      5.453895, ,         14.25,      4.490843, ,         17.25,        2.9602, ,         14.75,      3.987582, , , , , 
, , , , , , , , ,         15.25,        17.914, , , , , , , ,         15.25,      20.23482, , , , ,          14.5,      16.21348, ,         14.75,      12.63044, ,         13.25,      40.64756, ,         13.25,      40.64627, ,            13,       28.8881, ,         17.75,      11.72353, ,         14.25,      61.32859, , , , , , , , , , ,         14.25,       4.48248, ,            19,      3.997375, , , , , , , , , , , , , ,          18.5,      13.71918, ,            13,      62.26016, ,          13.5,      4.945243, ,         13.75,      38.05688, ,         15.25,      21.20668, ,            16,      10.53089, ,         15.75,      15.20572, ,            16,      4.009936, ,         13.25,      53.12698, ,            13,      64.28109, ,         13.25,       56.1063, ,         13.25,      46.18076, ,            13,      35.12346, ,         13.25,        25.141, ,          13.5,      29.49704, ,         13.25,      30.57503, ,          15.5,      3.877886, ,            18,      3.628777, , , , ,         13.25,      29.33163, , , , ,         17.25,      5.139885, ,          14.5,      4.450256, ,          17.5,       2.94099, ,            15,      3.927644, , , , , 
