Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
2.75,106.8902, ,2.75,90.47707, ,2.75,60.47514, ,2.75,52.2795, ,2.75,76.70735, ,2.75,102.2164, ,2.75,29.79322, ,3.75,86.85821, ,2.75,72.09529, ,2.75,75.97455, ,2.75,78.88537, ,2.75,53.43684, ,2.75,95.8173, ,2.75,81.91263, ,2.75,46.56223, ,3.25,71.08518, ,2.75,84.16391, ,8,38.28628, ,10.25,16.78771, ,5.5,73.49534, , 
3,109.2102, ,3,92.03316, ,3,62.3035, ,3,52.21776, ,3,80.67677, ,3,104.0582, ,3,32.34906, ,4,88.46364, ,3,74.61364, ,3,78.47102, ,3,81.40987, ,3,54.32749, ,3,98.77656, ,3,67.02565, ,3,48.74524, ,3.5,72.8128, ,3,88.74808, ,8.25,41.78571, ,10.5,15.86403, ,5.75,72.98452, , 
3.25,110.671, ,3.25,93.4684, ,3.25,64.04988, ,3.25,51.62464, ,3.25,83.23289, ,3.25,104.5801, ,3.25,34.81896, ,4.25,89.40629, ,3.25,76.7792, ,3.25,80.80567, ,3.25,83.31151, ,3.25,55.53023, ,3.25,101.3613, ,3.25,59.86672, ,3.25,51.15987, ,3.75,75.04275, ,3.25,92.97985, ,8.5,41.98746, ,10.75,14.95045, ,6.25,74.26208, , 
3.5,111.6325, ,3.5,95.0903, ,3.5,65.68164, ,3.5,51.50249, ,3.5,85.17424, ,3.5,103.2997, ,3.5,37.25362, ,4.5,89.59712, ,3.5,78.25093, ,3.5,82.62833, ,3.5,86.10863, ,3.5,58.38334, ,3.5,107.3269, ,3.5,54.47351, ,3.5,53.86736, ,4,77.18197, ,3.5,97.61412, ,8.75,38.56775, , , , ,6.5,73.34889, , 
3.75,116.3275, ,3.75,96.18809, ,3.75,67.24329, ,3.75,51.72381, ,3.75,86.90497, ,3.75,104.31, ,3.75,40.10807, ,4.75,90.9751, ,3.75,80.54285, ,3.75,83.53374, ,3.75,88.6417, ,3.75,61.603, ,3.75,110.1313, ,3.75,54.03156, ,3.75,56.28056, ,4.25,79.23574, ,3.75,102.5323, ,9,33.31831, , , , ,6.75,68.90448, , 
4,114.8701, ,4,97.24039, ,4,68.45886, ,4,52.10313, ,4,88.51309, ,4,104.1672, ,4,41.99296, ,5,91.00587, ,4,83.26971, ,4,86.18019, ,4,90.86471, ,4,64.40054, ,4,114.2081, ,4,46.19192, ,4,58.36404, ,4.5,81.14317, ,4,107.7448, ,9.25,28.42859, , , , ,7,68.02468, , 
4.25,114.187, ,4.25,98.04755, ,4.25,67.95602, ,4.25,52.82671, ,4.25,89.98572, ,4.25,101.5588, ,4.25,43.58729, ,5.25,91.55676, ,4.25,85.80595, ,4.25,88.63543, ,4.25,92.65433, ,4.25,66.95615, ,4.25,113.912, ,4.25,44.21763, ,4.25,60.06293, ,4.75,82.90774, ,4.25,112.1514, ,9.5,24.28998, , , , ,7.25,67.43133, , 
4.5,112.9342, ,4.5,98.94317, ,4.5,63.67157, ,4.5,53.61423, ,4.5,90.98153, ,4.5,101.9619, ,4.5,46.41664, ,5.5,91.63648, ,4.5,88.43414, ,4.5,91.04436, ,4.5,94.11985, ,4.5,69.41632, ,4.5,111.1488, ,4.5,46.33501, ,4.5,61.20768, ,5,84.54999, ,4.5,114.8657, ,9.75,21.02302, , , , ,7.5,66.85912, , 
4.75,110.2749, ,4.75,99.41967, ,4.75,66.42928, ,4.75,54.14495, ,4.75,90.43774, ,4.75,100.9204, ,4.75,49.87757, ,5.75,90.65404, ,4.75,90.2158, ,4.75,93.20479, ,4.75,96.16577, ,4.75,71.58534, ,4.75,105.6618, ,4.75,42.55889, ,4.75,61.96267, ,5.25,86.14295, ,4.75,118.3707, ,10,18.28493, , , , ,7.75,65.23727, , 
5,107.179, ,5,99.49729, ,5,68.94002, ,5,54.60847, ,5,91.68229, ,5,99.08044, ,5,52.929, ,6,85.44444, ,5,92.34547, ,5,94.52804, ,5,97.91518, ,5,73.72326, ,5,98.6273, ,5,38.5573, ,5,63.19903, ,5.5,87.75314, ,5,120.7545, ,10.25,15.90639, , , , ,8,63.76808, , 
5.25,103.9922, ,5.25,100.1875, ,5.25,71.33325, ,5.25,55.07952, ,5.25,94.8496, ,5.25,99.1415, ,5.25,55.16661, ,6.25,76.4129, ,5.25,94.5532, ,5.25,97.28416, ,5.25,99.21243, ,5.25,75.94172, ,5.25,92.20427, ,5.25,34.89575, ,5.25,65.60889, ,5.75,89.16134, ,5.25,122.0649, ,10.5,14.09854, , , , ,8.25,62.85871, , 
5.5,100.9635, ,5.5,99.9783, ,5.5,74.10228, ,5.5,55.55629, ,5.75,86.15897, ,5.5,98.40907, ,5.5,58.41501, ,6.5,69.119, ,5.5,97.11489, ,5.5,98.11429, ,5.5,99.82966, ,5.5,78.05827, ,5.5,85.92734, ,5.75,25.37922, ,5.5,67.4407, ,6,90.16452, ,5.5,121.3022, ,10.75,12.08028, , , , ,8.5,62.522, , 
5.75,97.57392, ,5.75,100.7006, ,5.75,76.57625, ,5.75,56.01176, ,6,78.04954, ,5.75,96.38511, ,5.75,61.96382, ,6.75,64.19218, ,5.75,97.79595, ,5.75,98.44282, ,5.75,101.4152, ,5.75,80.25234, ,5.75,78.99108, ,6,23.74895, ,5.75,68.42737, ,6.25,90.67722, ,5.75,120.7964, ,11,10.22824, , , , ,8.75,62.97307, , 
6,94.16046, ,6,101.679, ,6,78.9756, ,6,56.44152, ,6.25,72.02809, ,6,96.07416, ,6,65.37135, ,7,63.91993, ,6,96.7551, ,6,97.53266, ,6,101.0352, ,6,82.34582, ,6,72.94724, ,6.25,22.28669, ,6,70.1322, ,6.5,90.30883, ,6,118.6684, ,11.25,9.169857, , , , ,9,62.73076, , 
6.25,90.73939, ,6.25,99.44075, ,6.25,81.7174, ,6.25,56.69873, ,6.5,63.70584, ,6.25,94.66729, ,6.25,66.60191, ,7.25,63.47636, ,6.25,95.77426, ,6.25,95.93342, ,6.25,100.741, ,6.25,84.08021, ,6.25,67.0066, ,6.5,20.84697, ,6.25,71.58599, ,6.75,88.22692, ,6.25,114.464, ,11.5,8.367228, , , , ,9.25,61.97403, , 
6.75,86.69057, ,6.5,96.90293, ,6.5,84.44156, ,6.5,55.76033, ,6.75,57.24872, ,6.5,94.16321, ,6.5,65.23661, ,7.5,62.99577, ,6.5,95.1215, ,6.5,93.82247, ,6.5,99.92403, ,6.5,84.95547, ,6.5,60.37411, ,6.75,19.37018, ,6.5,72.07655, ,7,90.31051, ,6.5,112.1177, ,11.75,7.727615, , , , ,9.5,60.75476, , 
